"Simple Lightbox","Simple Lightbox"
"Advanced Lightbox","Advanced Lightbox"
"Theme Defined","Theme Defined"
Horizontal,Horizontal
Vertical,Vertical
"Lightbox Pro","Lightbox Pro"
"Enable Zoom","Enable Zoom"
"Enable Popup","Enable Popup"
"Thumbnails Type","Thumbnails Type"
"Show Image Caption","Show Image Caption"
"Image Sizes","Image Sizes"
"Main Image Width","Main Image Width"
"Main Image Height","Main Image Height"
"Thumbnail Width","Thumbnail Width"
"Thumbnail Height","Thumbnail Height"
"Thumbnail Margin","Thumbnail Margin"
Popup,Popup
"Layout Type","Layout Type"
"Lightbox Pro: Gallery","Lightbox Pro: Gallery"
"Main Image Width, px","Main Image Width, px"
"Main Image Height, px","Main Image Height, px"
"Thumbnail Width, px","Thumbnail Width, px"
"Thumbnail Height, px","Thumbnail Height, px"
